origin,destination,landing_data,takeoff_data
SBGR,CYUL,23/01/2023 08:10,23/01/2023 08:10
SAEZ,SBGR,21/01/2023 19:15,21/01/2023 19:15
CYYZ,SBGR,23/01/2023 09:30,23/01/2023 09:30
SBGR,CYYZ,23/01/2023 07:45,23/01/2023 07:45
CYUL,SBGR,23/01/2023 09:25,23/01/2023 09:25
SBGR,SAEZ,22/01/2023 14:20,22/01/2023 14:20
SBGR,CYUL,24/01/2023 08:10,24/01/2023 08:10
SAEZ,SBGR,22/01/2023 19:15,22/01/2023 19:15
CYYZ,SBGR,24/01/2023 09:30,24/01/2023 09:30
SBGR,CYYZ,24/01/2023 07:45,24/01/2023 07:45
CYUL,SBGR,24/01/2023 09:25,24/01/2023 09:25
SBGR,SAEZ,23/01/2023 14:20,23/01/2023 14:20
SBGR,CYUL,25/01/2023 08:10,25/01/2023 08:10
SAEZ,SBGR,23/01/2023 19:15,23/01/2023 19:15
CYYZ,SBGR,25/01/2023 09:30,25/01/2023 09:30
SBGR,CYYZ,25/01/2023 07:45,25/01/2023 07:45
CYUL,SBGR,25/01/2023 09:25,25/01/2023 09:25
SBGR,SAEZ,24/01/2023 14:20,24/01/2023 14:20
SBGR,CYUL,26/01/2023 08:10,26/01/2023 08:10
SAEZ,SBGR,24/01/2023 19:15,24/01/2023 19:15
CYYZ,SBGR,26/01/2023 09:30,26/01/2023 09:30
SBGR,CYYZ,26/01/2023 07:45,26/01/2023 07:45
SBGR,SAEZ,25/01/2023 14:20,25/01/2023 14:20
SAEZ,SBGR,25/01/2023 19:15,25/01/2023 19:15
CYYZ,SBGR,27/01/2023 09:30,27/01/2023 09:30
SBGR,CYYZ,27/01/2023 07:45,27/01/2023 07:45
CYUL,SBGR,27/01/2023 09:25,27/01/2023 09:25
SBGR,CYUL,28/01/2023 08:10,28/01/2023 08:10
CYYZ,SBGR,28/01/2023 09:30,28/01/2023 09:30
SBGR,CYYZ,28/01/2023 07:45,28/01/2023 07:45
CYUL,SBGR,28/01/2023 09:25,28/01/2023 09:25
SBGR,SAEZ,27/01/2023 14:25,27/01/2023 14:25
SAEZ,SBGR,27/01/2023 19:15,27/01/2023 19:15
SBGR,CYUL,29/01/2023 08:10,29/01/2023 08:10
CYYZ,SBGR,29/01/2023 09:30,29/01/2023 09:30
SBGR,CYYZ,29/01/2023 07:45,29/01/2023 07:45
CYUL,SBGR,29/01/2023 09:25,29/01/2023 09:25
SBGR,SAEZ,28/01/2023 14:25,28/01/2023 14:25
SBGR,CYUL,30/01/2023 08:10,30/01/2023 08:10
SAEZ,SBGR,28/01/2023 19:15,28/01/2023 19:15
CYYZ,SBGR,30/01/2023 09:30,30/01/2023 09:30
SBGR,CYYZ,30/01/2023 07:45,30/01/2023 07:45
CYUL,SBGR,30/01/2023 09:25,30/01/2023 09:25
SBGR,SAEZ,29/01/2023 14:25,29/01/2023 14:25
SAEZ,SBGR,29/01/2023 19:15,29/01/2023 19:15
SBGR,CYUL,31/01/2023 08:10,31/01/2023 08:10
CYYZ,SBGR,31/01/2023 09:30,31/01/2023 09:30
SBGR,CYYZ,31/01/2023 07:45,31/01/2023 07:45
CYUL,SBGR,31/01/2023 09:25,31/01/2023 09:25
SBGR,SAEZ,30/01/2023 14:25,30/01/2023 14:25
SAEZ,SBGR,30/01/2023 19:15,30/01/2023 19:15
SBGR,CYUL,01/02/2023 08:10,01/02/2023 08:10
CYYZ,SBGR,01/02/2023 09:30,01/02/2023 09:30
SBGR,CYYZ,01/02/2023 07:45,01/02/2023 07:45
CYUL,SBGR,01/02/2023 09:25,01/02/2023 09:25
SBGR,SAEZ,31/01/2023 14:25,31/01/2023 14:25
